electron mobility	Ar mobili	ar2 mobi	elediff 	ar diffusio	ar2 diffusio	ar*diffusio
7.135576923077E+023	3.75E+021	4.5E+021	6.351923076923E+023	9.703125E+019	1.164375E+020	1.643560096155E+022
7.13076923076925E+023	3.75E+021	4.5E+021	6.348076923077E+023	9.703125E+019	1.164375E+020	1.642564903845E+022
7.1259615384615E+023	3.75E+021	4.5E+021	6.34423076923075E+023	9.703125E+019	1.164375E+020	1.6415697115375E+022
7.12115384615375E+023	3.75E+021	4.5E+021	6.34038461538475E+023	9.703125E+019	1.164375E+020	1.64057451923E+022
7.11538461538475E+023	3.75E+021	4.5E+021	6.3375E+023	9.703125E+019	1.164375E+020	1.639828125E+022
7.110576923077E+023	3.75E+021	4.5E+021	6.33365384615375E+023	9.703125E+019	1.164375E+020	1.6388329326925E+022
7.10576923076925E+023	3.75E+021	4.5E+021	6.32980769230775E+023	9.703125E+019	1.164375E+020	1.637837740385E+022
7.1009615384615E+023	3.75E+021	4.5E+021	6.3259615384615E+023	9.703125E+019	1.164375E+020	1.6368425480775E+022
7.09615384615375E+023	3.75E+021	4.5E+021	6.3221153846155E+023	9.703125E+019	1.164375E+020	1.63584735577E+022
7.09134615384625E+023	3.75E+021	4.5E+021	6.31923076923075E+023	9.703125E+019	1.164375E+020	1.6351009615375E+022
7.0865384615385E+023	3.75E+021	4.5E+021	6.31538461538475E+023	9.703125E+019	1.164375E+020	1.63410576923E+022
7.08173076923075E+023	3.75E+021	4.5E+021	6.3115384615385E+023	9.703125E+019	1.164375E+020	1.6331105769225E+022
7.076923076923E+023	3.75E+021	4.5E+021	6.30865384615375E+023	9.703125E+019	1.164375E+020	1.6323641826925E+022
7.073076923077E+023	3.75E+021	4.5E+021	6.30480769230775E+023	9.703125E+019	1.164375E+020	1.631368990385E+022
7.06826923076925E+023	3.75E+021	4.5E+021	6.301923076923E+023	9.703125E+019	1.164375E+020	1.630622596155E+022
7.0634615384615E+023	3.75E+021	4.5E+021	6.298076923077E+023	9.703125E+019	1.164375E+020	1.629627403845E+022
7.05865384615375E+023	3.75E+021	4.5E+021	6.29519230769225E+023	9.703125E+019	1.164375E+020	1.628881009615E+022
7.05384615384625E+023	3.75E+021	4.5E+021	6.29134615384625E+023	9.703125E+019	1.164375E+020	1.6278858173075E+022
7.05E+023	3.75E+021	4.5E+021	6.2884615384615E+023	9.703125E+019	1.164375E+020	1.6271394230775E+022
7.04519230769225E+023	3.75E+021	4.5E+021	6.2846153846155E+023	9.703125E+019	1.164375E+020	1.62614423077E+022
7.04038461538475E+023	3.75E+021	4.5E+021	6.28173076923075E+023	9.703125E+019	1.164375E+020	1.6253978365375E+022
7.0365384615385E+023	3.75E+021	4.5E+021	6.27788461538475E+023	9.703125E+019	1.164375E+020	1.62440264423E+022
7.03173076923075E+023	3.75E+021	4.5E+021	6.275E+023	9.703125E+019	1.164375E+020	1.62365625E+022
7.02788461538475E+023	3.75E+021	4.5E+021	6.2721153846155E+023	9.703125E+019	1.164375E+020	1.62290985577E+022
7.023076923077E+023	3.75E+021	4.5E+021	6.26826923076925E+023	9.703125E+019	1.164375E+020	1.6219146634625E+022
7.01826923076925E+023	3.75E+021	4.5E+021	6.26538461538475E+023	9.703125E+019	1.164375E+020	1.62116826923E+022
7.014423076923E+023	3.75E+021	4.5E+021	6.2625E+023	9.703125E+019	1.164375E+020	1.620421875E+022
7.00865384615375E+023	3.75E+021	4.5E+021	6.25769230769225E+023	9.703125E+019	1.164375E+020	1.619177884615E+022
7.00384615384625E+023	3.75E+021	4.5E+021	6.25480769230775E+023	9.703125E+019	1.164375E+020	1.618431490385E+022
